epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.49289,0.85707,4.28574,0.0059,0.00645,0.95775,0.44227,0.2015,0.82599,3.63686,0.00525,0.00025005,0.00025005,0.00025005
2,2.99253,0.85144,3.13764,0.00591,0.00655,1,0.31577,0.14041,0.69955,3.6188,0.0043,0.000511654,0.000511654,0.000511654
3,4.1777,0.87736,2.64685,0.00619,0.00654,1,0.25172,0.10413,0.73219,3.28698,0.00467,0.000767977,0.000767977,0.000767977
4,5.30608,0.86539,2.36469,0.00595,0.00658,0.99296,0.52352,0.40344,0.81885,3.09678,0.00485,0.00101902,0.00101902,0.00101902
5,6.43546,0.90435,2.09371,0.00617,1,0.25328,0.83692,0.60906,0.92674,2.52683,0.0059,0.00126478,0.00126478,0.00126478
6,7.5931,0.91047,1.90775,0.00647,0.95622,0.26601,0.80974,0.58749,0.96053,2.30053,0.00609,0.00150526,0.00150526,0.00150526
7,8.79609,0.95707,1.72206,0.00663,0.83029,0.75479,0.8867,0.66395,0.91397,1.5532,0.00584,0.00156798,0.00156798,0.00156798
8,9.90677,0.94663,1.60615,0.0069,0.79664,0.84561,0.91178,0.68871,0.92575,1.22369,0.00575,0.00155148,0.00155148,0.00155148
9,11.0292,0.96868,1.44622,0.00661,0.81601,0.84348,0.92511,0.68805,0.95886,1.05064,0.00609,0.00153497,0.00153497,0.00153497
10,12.156,0.97721,1.35938,0.00672,0.86037,0.87392,0.92382,0.7263,0.83181,0.90911,0.00505,0.00151847,0.00151847,0.00151847
11,13.2899,0.91067,1.30875,0.00651,0.88335,0.86678,0.9439,0.69806,1.00518,0.76303,0.00648,0.00150197,0.00150197,0.00150197
12,14.5227,0.90099,1.21789,0.00639,0.91192,0.83881,0.95293,0.74307,0.91143,0.73131,0.00563,0.00148546,0.00148546,0.00148546
13,15.6684,0.88021,1.14819,0.00603,0.85937,0.89112,0.94533,0.71918,0.9591,0.67284,0.00573,0.00146896,0.00146896,0.00146896
14,16.764,0.87059,1.06728,0.00595,0.87402,0.89031,0.94583,0.72903,0.94481,0.61292,0.00591,0.00145246,0.00145246,0.00145246
15,17.8766,0.82204,0.97084,0.00552,0.79755,0.85775,0.93234,0.71886,0.90372,0.6638,0.00536,0.00143595,0.00143595,0.00143595
16,18.9946,0.82712,0.9469,0.00569,0.94281,0.83881,0.95321,0.74018,0.91257,0.55159,0.00563,0.00141945,0.00141945,0.00141945
17,20.2159,0.87004,0.93336,0.006,0.89379,0.89593,0.9601,0.77094,0.82297,0.49416,0.00516,0.00140295,0.00140295,0.00140295
18,21.3564,0.80519,0.85037,0.00535,0.88759,0.9018,0.95436,0.76353,0.80119,0.49034,0.00488,0.00138644,0.00138644,0.00138644
19,22.4686,0.818,0.80731,0.00531,0.90146,0.9461,0.95928,0.77942,0.82429,0.44203,0.00498,0.00136994,0.00136994,0.00136994
20,23.5675,0.79305,0.76402,0.00528,0.95224,0.85723,0.9712,0.78699,0.79386,0.42111,0.00484,0.00135344,0.00135344,0.00135344
21,24.6681,0.82493,0.72085,0.00543,0.93551,0.92008,0.97261,0.77914,0.83076,0.40238,0.00505,0.00133693,0.00133693,0.00133693
22,25.75,0.7775,0.72206,0.00552,0.90602,0.96744,0.97709,0.78861,0.75447,0.34772,0.00474,0.00132043,0.00132043,0.00132043
23,26.9579,0.77551,0.68011,0.0054,0.84586,0.902,0.96514,0.76813,0.83286,0.43538,0.0049,0.00130393,0.00130393,0.00130393
24,28.057,0.77491,0.67796,0.00508,0.82394,0.95439,0.96042,0.73455,0.88323,0.47733,0.00503,0.00128742,0.00128742,0.00128742
25,29.1534,0.78883,0.65866,0.00533,0.86875,0.92445,0.9747,0.78488,0.8109,0.41349,0.00461,0.00127092,0.00127092,0.00127092
26,30.2404,0.79471,0.61218,0.00522,0.94166,0.92586,0.97114,0.76883,0.86391,0.4068,0.00562,0.00125442,0.00125442,0.00125442
27,31.3439,0.78752,0.62764,0.00535,0.9271,0.9507,0.9773,0.79491,0.75786,0.36662,0.00469,0.00123791,0.00123791,0.00123791
28,32.5897,0.7886,0.60496,0.00541,0.91985,0.90855,0.97495,0.77238,0.83375,0.42408,0.00516,0.00122141,0.00122141,0.00122141
29,33.6945,0.7619,0.59158,0.00501,0.9515,0.87965,0.97296,0.80591,0.70335,0.37992,0.00435,0.00120491,0.00120491,0.00120491
30,34.786,0.74275,0.53884,0.00482,0.95269,0.89625,0.977,0.78887,0.78352,0.38465,0.00462,0.0011884,0.0011884,0.0011884
31,35.8732,0.72643,0.50785,0.00468,0.96194,0.9507,0.98199,0.80915,0.75082,0.36974,0.00474,0.0011719,0.0011719,0.0011719
32,37.0079,0.74743,0.53256,0.00496,0.92862,0.92108,0.97349,0.7517,0.88155,0.39194,0.00495,0.0011554,0.0011554,0.0011554
33,38.0995,0.86308,0.54581,0.00562,0.91979,0.92536,0.97197,0.79905,0.74188,0.3875,0.00436,0.00113889,0.00113889,0.00113889
34,39.3,0.78614,0.53256,0.00507,0.9317,0.88466,0.97371,0.81005,0.67503,0.39291,0.00409,0.00112239,0.00112239,0.00112239
35,40.4082,0.73421,0.48023,0.00501,0.92909,0.95672,0.97986,0.81483,0.66454,0.35391,0.00407,0.00110589,0.00110589,0.00110589
36,41.5041,0.69526,0.47267,0.00467,0.90926,0.9578,0.97959,0.77553,0.76224,0.34724,0.00467,0.00108938,0.00108938,0.00108938
37,42.5832,0.73296,0.48723,0.0049,0.90177,0.96498,0.97013,0.79676,0.71203,0.36827,0.0044,0.00107288,0.00107288,0.00107288
38,43.6814,0.70913,0.47288,0.00469,0.89592,0.96823,0.97981,0.80632,0.68429,0.32469,0.00414,0.00105638,0.00105638,0.00105638
39,44.8745,0.71742,0.4655,0.00471,0.95689,0.9508,0.98149,0.79823,0.73413,0.33336,0.00434,0.00103987,0.00103987,0.00103987
40,45.9709,0.72201,0.45708,0.00477,0.91943,0.97032,0.98059,0.79081,0.77397,0.34123,0.00468,0.00102337,0.00102337,0.00102337
41,47.0607,0.75525,0.42838,0.00514,0.93805,0.98247,0.98459,0.79511,0.80277,0.37054,0.00483,0.00100687,0.00100687,0.00100687
42,48.183,0.71716,0.47065,0.00466,0.94087,0.89579,0.97833,0.80384,0.7416,0.38427,0.00422,0.000990365,0.000990365,0.000990365
43,49.2763,0.703,0.42662,0.00461,0.91253,0.92977,0.97517,0.82189,0.66435,0.34949,0.00391,0.000973861,0.000973861,0.000973861
44,50.4771,0.70905,0.416,0.00475,0.91495,0.95903,0.98293,0.80128,0.7439,0.36981,0.00475,0.000957358,0.000957358,0.000957358
45,51.582,0.69565,0.413,0.0048,0.95104,0.93415,0.98327,0.81153,0.71683,0.3175,0.00405,0.000940855,0.000940855,0.000940855
46,52.6696,0.67449,0.40143,0.00447,0.9178,0.94257,0.97781,0.8157,0.68087,0.34934,0.00405,0.000924352,0.000924352,0.000924352
47,53.7574,0.68651,0.38578,0.00465,0.92464,0.93938,0.97941,0.79187,0.76099,0.37905,0.00439,0.000907848,0.000907848,0.000907848
48,54.8402,0.72529,0.40072,0.00479,0.94099,0.93305,0.97457,0.79919,0.73133,0.3669,0.00421,0.000891345,0.000891345,0.000891345
49,56.0261,0.69864,0.4197,0.00469,0.92578,0.99295,0.97938,0.81049,0.69706,0.34273,0.00425,0.000874842,0.000874842,0.000874842
50,57.1073,0.68361,0.40988,0.00453,0.95544,0.95405,0.98097,0.80197,0.7355,0.32263,0.00439,0.000858338,0.000858338,0.000858338
51,58.1946,0.66498,0.40759,0.00446,0.94458,0.9496,0.9806,0.79536,0.72663,0.35303,0.00438,0.000841835,0.000841835,0.000841835
52,59.2808,0.68257,0.37596,0.00449,0.91255,0.96306,0.98534,0.80743,0.70915,0.3391,0.00434,0.000825332,0.000825332,0.000825332
53,60.3604,0.66567,0.39882,0.00435,0.93154,0.92453,0.9792,0.81547,0.7108,0.32846,0.00419,0.000808828,0.000808828,0.000808828
54,61.5633,0.67161,0.39142,0.00442,0.95805,0.89476,0.97828,0.81686,0.66504,0.33183,0.00398,0.000792325,0.000792325,0.000792325
55,62.6411,0.7065,0.3799,0.00511,0.94933,0.95069,0.98376,0.80697,0.70755,0.31439,0.00416,0.000775822,0.000775822,0.000775822
56,63.7244,0.66057,0.38884,0.00466,0.9371,0.95348,0.9849,0.82083,0.6872,0.31442,0.00416,0.000759318,0.000759318,0.000759318
57,64.8037,0.65407,0.3891,0.00423,0.89457,0.95784,0.9798,0.8127,0.70152,0.35889,0.0044,0.000742815,0.000742815,0.000742815
58,65.8911,0.67317,0.36877,0.00436,0.85907,0.97193,0.97615,0.82175,0.64262,0.3296,0.00391,0.000726312,0.000726312,0.000726312
59,66.9749,0.64764,0.366,0.00426,0.87603,0.97715,0.98149,0.80911,0.691,0.33372,0.00402,0.000709809,0.000709809,0.000709809
60,68.1579,0.62297,0.35307,0.00416,0.86897,0.96298,0.9764,0.82729,0.62216,0.3252,0.00371,0.000693305,0.000693305,0.000693305
61,69.2438,0.63868,0.33168,0.00417,0.88656,0.97887,0.98409,0.82872,0.65455,0.30037,0.00393,0.000676802,0.000676802,0.000676802
62,70.34,0.64123,0.34601,0.00403,0.90877,0.96403,0.98539,0.82542,0.64944,0.29283,0.00384,0.000660299,0.000660299,0.000660299
63,71.4162,0.65752,0.36181,0.00453,0.96068,0.93682,0.9822,0.82792,0.61932,0.27923,0.00367,0.000643795,0.000643795,0.000643795
64,72.506,0.62785,0.31931,0.00384,0.96718,0.91579,0.98351,0.83567,0.62858,0.27327,0.00373,0.000627292,0.000627292,0.000627292
65,73.7243,0.63139,0.35278,0.00402,0.9462,0.93558,0.98405,0.83304,0.65405,0.29277,0.00389,0.000610789,0.000610789,0.000610789
66,74.8036,0.6339,0.33606,0.00424,0.94237,0.95218,0.98735,0.82779,0.67627,0.2881,0.00399,0.000594286,0.000594286,0.000594286
