epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.854,0.87474,2.82414,0.95227,0.00738,1,0.80784,0.5787,0.87399,2.96762,0.88086,0.00025005,0.00025005,0.00025005
2,15.0834,0.92296,1.3856,1.04406,0.00728,0.98592,0.7609,0.52152,0.92863,3.05386,0.89734,0.000511654,0.000511654,0.000511654
3,16.6766,0.9043,1.17208,1.07103,1,0.14641,0.77914,0.55359,0.91721,2.84937,0.9213,0.000767977,0.000767977,0.000767977
4,17.8947,0.87076,1.07066,1.02493,1,0.24342,0.74168,0.53019,0.98159,2.72851,0.95953,0.00101902,0.00101902,0.00101902
5,19.1047,0.89131,1.04086,1.05593,0.98852,0.29553,0.88248,0.63874,0.91375,2.40971,1.00883,0.00126478,0.00126478,0.00126478
6,20.3466,0.88148,1.00666,1.0524,0.98839,0.7914,0.98872,0.72397,0.97178,1.72304,1.11662,0.00150526,0.00150526,0.00150526
7,21.5614,0.90504,0.9866,1.05397,0.82889,0.90141,0.9423,0.68323,0.95685,1.18426,1.05202,0.00156798,0.00156798,0.00156798
8,22.7514,0.87023,0.9195,1.03733,0.97982,0.96819,0.99453,0.76444,0.8692,0.92802,1.05981,0.00155148,0.00155148,0.00155148
9,23.9595,0.83533,0.84775,1.04391,0.9861,0.9898,0.99341,0.76068,0.8745,0.80721,1.09304,0.00153497,0.00153497,0.00153497
10,25.1662,0.89529,0.87813,1.07768,0.99415,0.99199,0.9939,0.73354,0.89537,0.73821,1.12352,0.00151847,0.00151847,0.00151847
11,26.478,0.87975,0.85274,1.08035,0.98529,0.98592,0.99459,0.75999,0.86692,0.76243,1.1028,0.00150197,0.00150197,0.00150197
12,27.6645,0.81783,0.78854,1.03504,0.98236,0.99296,0.99307,0.75116,0.93662,0.71203,1.08873,0.00148546,0.00148546,0.00148546
13,28.851,0.81774,0.7533,1.04323,0.98626,1,0.99486,0.75763,0.86332,0.67624,1.09555,0.00146896,0.00146896,0.00146896
14,30.0492,0.81276,0.73252,1.03873,0.99444,1,0.995,0.75678,0.86323,0.67335,1.07316,0.00145246,0.00145246,0.00145246
15,31.2419,0.83294,0.72559,1.05977,0.98173,0.9988,0.99351,0.73045,0.88116,0.68976,1.09074,0.00143595,0.00143595,0.00143595
16,32.426,0.78388,0.6829,1.04441,0.97526,0.99296,0.98965,0.76002,0.88134,0.69897,1.09683,0.00141945,0.00141945,0.00141945
17,33.6194,0.79347,0.68364,1.04093,0.98501,0.99023,0.99267,0.75911,0.85434,0.62402,1.0694,0.00140295,0.00140295,0.00140295
18,34.8066,0.78033,0.66625,1.01219,0.99554,0.99296,0.99213,0.75891,0.8377,0.60679,1.05049,0.00138644,0.00138644,0.00138644
19,36.1179,0.76817,0.63654,0.99478,0.98501,1,0.99479,0.77173,0.83619,0.62598,1.04556,0.00136994,0.00136994,0.00136994
20,37.3473,0.7513,0.62054,0.99408,0.99345,0.99296,0.99386,0.79057,0.7631,0.59974,1.02828,0.00135344,0.00135344,0.00135344
21,38.5505,0.75394,0.59635,0.99896,0.96591,0.96607,0.98818,0.77551,0.77979,0.87042,1.04146,0.00133693,0.00133693,0.00133693
22,39.7473,0.78649,0.59722,1.03435,0.9715,0.99749,0.99283,0.76975,0.81266,0.79516,1.07208,0.00132043,0.00132043,0.00132043
23,40.9484,0.76077,0.58186,1.04826,0.99133,1,0.99493,0.79212,0.7731,0.52886,1.04202,0.00130393,0.00130393,0.00130393
24,42.1468,0.74864,0.55572,1.00463,0.99478,0.99296,0.99486,0.79543,0.77663,0.51923,1.04697,0.00128742,0.00128742,0.00128742
25,43.3413,0.74625,0.56312,1.01147,0.98909,1,0.99472,0.78958,0.76228,0.50609,1.03691,0.00127092,0.00127092,0.00127092
26,44.5312,0.74195,0.55272,1.00989,0.987,1,0.99292,0.80757,0.7741,0.48549,1.03775,0.00125442,0.00125442,0.00125442
27,45.7364,0.70819,0.52311,1.01182,0.97915,0.98941,0.99029,0.79349,0.72868,0.48413,1.0141,0.00123791,0.00123791,0.00123791
28,47.0176,0.70818,0.5127,1.02498,0.98417,0.99296,0.99074,0.80406,0.72706,0.48366,0.99574,0.00122141,0.00122141,0.00122141
29,48.2045,0.7302,0.52873,1.01109,0.98539,0.98646,0.99467,0.79658,0.77325,0.51954,1.00439,0.00120491,0.00120491,0.00120491
30,49.3777,0.71221,0.52953,0.98407,0.96974,0.99306,0.99424,0.8133,0.72363,0.48378,0.98692,0.0011884,0.0011884,0.0011884
31,50.5812,0.70778,0.50009,0.9769,0.99305,0.99849,0.99188,0.79885,0.74388,0.48052,1.00456,0.0011719,0.0011719,0.0011719
32,51.7621,0.734,0.51042,1.00203,0.99026,1,0.99486,0.79671,0.77793,0.47109,1.04038,0.0011554,0.0011554,0.0011554
33,52.9322,0.71155,0.49112,0.98915,0.99719,1,0.995,0.79372,0.79573,0.49842,1.03929,0.00113889,0.00113889,0.00113889
34,54.1179,0.69515,0.48731,0.98228,0.99638,1,0.995,0.79669,0.77865,0.45117,1.01235,0.00112239,0.00112239,0.00112239
35,55.2905,0.67847,0.47574,0.99057,0.98755,0.99875,0.99493,0.80602,0.69432,0.42918,0.99226,0.00110589,0.00110589,0.00110589
36,56.5682,0.66493,0.46355,0.98314,0.9969,0.99296,0.99428,0.80856,0.74056,0.46897,1.00241,0.00108938,0.00108938,0.00108938
37,57.7444,0.67061,0.4668,0.97838,0.99726,0.99296,0.99493,0.80405,0.75723,0.44513,1.01027,0.00107288,0.00107288,0.00107288
38,58.9455,0.69102,0.45558,0.97941,0.98563,1,0.99472,0.81466,0.72823,0.46164,1.00084,0.00105638,0.00105638,0.00105638
39,60.1352,0.68485,0.46401,0.98078,0.99746,1,0.995,0.79228,0.74679,0.4492,1.01354,0.00103987,0.00103987,0.00103987
40,61.2994,0.67537,0.45846,0.99307,0.98941,1,0.99465,0.82166,0.7207,0.4101,0.98387,0.00102337,0.00102337,0.00102337
41,62.5011,0.67473,0.44997,0.97354,0.99118,1,0.99319,0.83459,0.69471,0.41557,0.98501,0.00100687,0.00100687,0.00100687
42,63.696,0.65218,0.44144,0.95387,0.99036,1,0.99389,0.83443,0.69369,0.41286,0.98126,0.000990365,0.000990365,0.000990365
43,64.8815,0.65578,0.43403,0.96236,0.99019,1,0.99493,0.81839,0.70122,0.40581,0.9798,0.000973861,0.000973861,0.000973861
44,66.1552,0.64949,0.43031,0.97863,0.99061,1,0.99465,0.81508,0.69134,0.40287,0.97097,0.000957358,0.000957358,0.000957358
45,67.3371,0.6583,0.44271,0.98755,0.98974,0.99296,0.99458,0.80892,0.69479,0.39866,0.97443,0.000940855,0.000940855,0.000940855
46,68.5164,0.63589,0.42549,0.97298,0.98317,0.99296,0.99332,0.82342,0.69308,0.42059,0.98156,0.000924352,0.000924352,0.000924352
47,69.7335,0.63588,0.41898,0.97843,0.99085,0.99959,0.99493,0.81736,0.68109,0.39633,0.97242,0.000907848,0.000907848,0.000907848
48,70.9252,0.65711,0.41409,0.98127,0.98491,0.99298,0.99388,0.82718,0.67109,0.41286,0.9684,0.000891345,0.000891345,0.000891345
49,72.1184,0.64885,0.41276,0.96771,0.98959,1,0.99493,0.81811,0.73194,0.40901,1.00169,0.000874842,0.000874842,0.000874842
50,73.3075,0.62682,0.4051,0.95903,0.99057,1,0.99486,0.79222,0.81613,0.408,1.03817,0.000858338,0.000858338,0.000858338
51,74.4915,0.62832,0.40008,0.969,0.99088,0.9986,0.9934,0.81672,0.70501,0.40104,0.98973,0.000841835,0.000841835,0.000841835
52,75.769,0.61727,0.39799,0.96637,0.99139,0.9991,0.99347,0.81741,0.70467,0.39763,0.98615,0.000825332,0.000825332,0.000825332
53,76.9614,0.62401,0.39454,0.96656,0.98988,1,0.99375,0.83542,0.66613,0.40961,0.9715,0.000808828,0.000808828,0.000808828
54,78.1532,0.64053,0.39862,0.97145,0.99138,0.99894,0.99493,0.81976,0.68349,0.38545,0.97951,0.000792325,0.000792325,0.000792325
55,79.332,0.60993,0.39086,0.97616,0.99128,0.99876,0.99493,0.82571,0.69209,0.39585,0.97698,0.000775822,0.000775822,0.000775822
56,80.5108,0.59816,0.3808,0.94964,0.99129,0.99895,0.99493,0.82577,0.66393,0.38484,0.97159,0.000759318,0.000759318,0.000759318
57,81.6961,0.61278,0.38648,0.94786,0.99362,1,0.995,0.8335,0.66228,0.37247,0.96456,0.000742815,0.000742815,0.000742815
58,82.8868,0.60946,0.38076,0.94671,0.99684,1,0.995,0.8305,0.66891,0.37818,0.96362,0.000726312,0.000726312,0.000726312
59,84.0585,0.60422,0.37765,0.95376,0.99185,1,0.995,0.83003,0.67014,0.36914,0.96495,0.000709809,0.000709809,0.000709809
60,85.2209,0.5931,0.37683,0.94825,0.99144,1,0.995,0.84145,0.66216,0.37686,0.96101,0.000693305,0.000693305,0.000693305
61,86.5139,0.61019,0.37467,0.93831,0.99155,1,0.995,0.83444,0.6688,0.38625,0.96911,0.000676802,0.000676802,0.000676802
62,87.7079,0.60172,0.38196,0.9456,0.99562,1,0.995,0.8203,0.67399,0.38581,0.97039,0.000660299,0.000660299,0.000660299
63,88.8959,0.59708,0.38141,0.95627,0.99191,1,0.995,0.83467,0.66042,0.36994,0.96691,0.000643795,0.000643795,0.000643795
64,90.0684,0.57802,0.36902,0.93287,0.9914,1,0.99472,0.83478,0.63272,0.35948,0.95309,0.000627292,0.000627292,0.000627292
65,91.2381,0.59142,0.36009,0.94145,0.99115,1,0.99444,0.83616,0.62959,0.36461,0.95113,0.000610789,0.000610789,0.000610789
66,92.4103,0.59612,0.36743,0.95008,0.99151,1,0.99486,0.84824,0.63368,0.36106,0.94911,0.000594286,0.000594286,0.000594286
67,93.5997,0.59215,0.36541,0.93611,0.99151,1,0.99493,0.8352,0.64786,0.35504,0.96184,0.000577782,0.000577782,0.000577782
68,94.7789,0.59866,0.36347,0.95205,0.99164,1,0.99444,0.83045,0.63378,0.3521,0.96575,0.000561279,0.000561279,0.000561279
69,96.0616,0.57746,0.35135,0.94921,0.99107,1,0.99486,0.82941,0.66161,0.35727,0.97526,0.000544776,0.000544776,0.000544776
70,97.2335,0.57298,0.36229,0.93392,0.98868,1,0.99486,0.82685,0.65212,0.35329,0.97056,0.000528272,0.000528272,0.000528272
71,98.4095,0.57018,0.34971,0.93496,0.99308,1,0.995,0.83173,0.67593,0.36081,0.96388,0.000511769,0.000511769,0.000511769
72,99.5893,0.56664,0.34213,0.94601,0.99343,1,0.995,0.83371,0.66861,0.34473,0.97498,0.000495266,0.000495266,0.000495266
73,100.778,0.5823,0.34827,0.93573,0.99745,1,0.995,0.83937,0.64722,0.34158,0.95499,0.000478762,0.000478762,0.000478762
74,101.958,0.56556,0.34003,0.93457,0.99227,1,0.995,0.84115,0.63373,0.35078,0.95805,0.000462259,0.000462259,0.000462259
75,103.142,0.58479,0.34243,0.95436,0.9972,1,0.995,0.84845,0.63008,0.33412,0.9557,0.000445756,0.000445756,0.000445756
76,104.336,0.55977,0.33584,0.92922,0.99906,0.9998,0.995,0.84879,0.63785,0.33758,0.95743,0.000429253,0.000429253,0.000429253
77,105.621,0.56801,0.33745,0.92422,0.99624,1,0.995,0.83909,0.66679,0.33272,0.96688,0.000412749,0.000412749,0.000412749
78,106.795,0.5572,0.33633,0.94044,0.99578,1,0.995,0.83745,0.65604,0.33363,0.96059,0.000396246,0.000396246,0.000396246
79,107.972,0.5537,0.33096,0.9336,0.99501,1,0.995,0.84027,0.65113,0.34395,0.96356,0.000379743,0.000379743,0.000379743
80,109.146,0.54358,0.33106,0.93417,0.99725,1,0.995,0.84705,0.62428,0.3337,0.94459,0.000363239,0.000363239,0.000363239
81,110.324,0.5672,0.33739,0.9306,0.99628,1,0.995,0.8404,0.64586,0.33127,0.95487,0.000346736,0.000346736,0.000346736
82,111.505,0.54886,0.33291,0.93802,0.99646,1,0.995,0.85153,0.63991,0.3306,0.95169,0.000330233,0.000330233,0.000330233
83,112.714,0.5524,0.32562,0.92213,0.99574,1,0.995,0.84104,0.62111,0.3215,0.94599,0.000313729,0.000313729,0.000313729
84,113.911,0.5339,0.32348,0.9262,0.99739,1,0.995,0.84617,0.62727,0.32154,0.94611,0.000297226,0.000297226,0.000297226
85,115.191,0.55093,0.31926,0.93031,0.99892,0.99965,0.995,0.84915,0.61184,0.31913,0.93646,0.000280723,0.000280723,0.000280723
86,116.368,0.52897,0.3137,0.90969,0.99891,0.99933,0.995,0.84218,0.6212,0.32214,0.94809,0.00026422,0.00026422,0.00026422
87,117.557,0.53362,0.31546,0.91808,0.99781,1,0.995,0.85046,0.63421,0.31916,0.9466,0.000247716,0.000247716,0.000247716
88,118.749,0.53933,0.31859,0.91022,0.99704,1,0.995,0.85898,0.61537,0.31781,0.94174,0.000231213,0.000231213,0.000231213
89,119.935,0.53835,0.3156,0.92385,0.99687,1,0.995,0.85199,0.61705,0.31661,0.94418,0.00021471,0.00021471,0.00021471
90,121.111,0.53851,0.31822,0.92387,0.99687,1,0.995,0.85265,0.62381,0.31719,0.94513,0.000198206,0.000198206,0.000198206
91,122.951,0.52495,0.30833,0.91923,0.997,1,0.995,0.84726,0.62039,0.31222,0.94953,0.000181703,0.000181703,0.000181703
92,124.138,0.51925,0.31021,0.90148,0.99694,1,0.995,0.84925,0.61798,0.30921,0.94625,0.0001652,0.0001652,0.0001652
93,125.445,0.54447,0.31593,0.92961,0.99767,1,0.995,0.85008,0.61666,0.30914,0.94388,0.000148696,0.000148696,0.000148696
94,126.625,0.51478,0.3019,0.92759,0.99886,1,0.995,0.84893,0.61725,0.31339,0.94474,0.000132193,0.000132193,0.000132193
95,127.797,0.52044,0.30621,0.91101,0.99884,1,0.995,0.84553,0.62653,0.31633,0.94848,0.00011569,0.00011569,0.00011569
96,128.97,0.50927,0.30444,0.9098,0.99888,1,0.995,0.84723,0.61721,0.31543,0.94251,9.91865e-05,9.91865e-05,9.91865e-05
97,130.149,0.51011,0.30702,0.92126,0.99837,1,0.995,0.84856,0.61385,0.30982,0.93986,8.26832e-05,8.26832e-05,8.26832e-05
98,131.321,0.5294,0.3056,0.92187,0.99796,1,0.995,0.84988,0.61556,0.31769,0.93856,6.61799e-05,6.61799e-05,6.61799e-05
99,132.518,0.51155,0.30437,0.90619,0.99822,1,0.995,0.8537,0.61608,0.31512,0.93861,4.96766e-05,4.96766e-05,4.96766e-05
100,133.688,0.50703,0.29903,0.91787,0.99844,1,0.995,0.85328,0.61798,0.31682,0.94008,3.31733e-05,3.31733e-05,3.31733e-05
