epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,71.8145,0.6488,0.37866,0.89514,0.99716,1,0.995,0.80584,0.73471,0.34793,0.91705,0.000990365,0.000990365,0.000990365
43,73.4568,0.6611,0.37433,0.90212,0.99687,0.99296,0.99493,0.8156,0.70924,0.34667,0.89604,0.000973861,0.000973861,0.000973861
44,75.1538,0.63243,0.35593,0.90273,0.99113,1,0.99472,0.81464,0.71587,0.34106,0.89766,0.000957358,0.000957358,0.000957358
45,76.8301,0.62203,0.36276,0.90297,0.99016,1,0.99493,0.81273,0.67705,0.31147,0.88791,0.000940855,0.000940855,0.000940855
46,78.4903,0.62614,0.35684,0.89033,0.99742,0.99743,0.995,0.81797,0.68974,0.33143,0.90137,0.000924352,0.000924352,0.000924352
47,80.156,0.63119,0.35154,0.90562,0.99703,1,0.995,0.82644,0.65955,0.31627,0.88482,0.000907848,0.000907848,0.000907848
48,81.8159,0.62942,0.34595,0.88759,0.99717,1,0.995,0.82849,0.66091,0.31893,0.89097,0.000891345,0.000891345,0.000891345
49,83.5151,0.62742,0.3465,0.898,0.9978,1,0.995,0.82012,0.69981,0.32426,0.89273,0.000874842,0.000874842,0.000874842
50,85.2315,0.62576,0.34413,0.89776,0.99018,1,0.99486,0.81718,0.72811,0.33162,0.9,0.000858338,0.000858338,0.000858338
51,86.8867,0.61243,0.33899,0.91199,0.99076,1,0.995,0.82881,0.66739,0.32101,0.88391,0.000841835,0.000841835,0.000841835
52,88.585,0.63286,0.34058,0.891,0.9952,1,0.995,0.78796,0.72281,0.32365,0.90222,0.000825332,0.000825332,0.000825332
53,90.241,0.62584,0.34375,0.90743,0.99706,1,0.995,0.8259,0.65796,0.31217,0.87733,0.000808828,0.000808828,0.000808828
54,91.899,0.6314,0.34751,0.89193,0.99142,0.99852,0.99444,0.793,0.76432,0.34373,0.91605,0.000792325,0.000792325,0.000792325
55,93.6066,0.59135,0.33836,0.886,0.99097,1,0.99486,0.82773,0.64964,0.30697,0.87513,0.000775822,0.000775822,0.000775822
56,95.3152,0.5906,0.32114,0.88357,0.98952,1,0.99493,0.82163,0.62049,0.30898,0.87529,0.000759318,0.000759318,0.000759318
