epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.07004,1.01493,3.02073,1.02611,0.0065,0.99296,0.66954,0.48455,0.85864,2.8886,0.88115,0.00025005,0.00025005,0.00025005
2,3.98709,0.92727,1.75758,1.00168,0.00649,0.99296,0.9369,0.67236,0.90162,2.77497,0.90391,0.000511654,0.000511654,0.000511654
3,5.94714,0.93888,1.46907,0.98401,1,0.36985,0.943,0.60957,1.06739,2.52509,0.96374,0.000767977,0.000767977,0.000767977
4,7.96256,0.95306,1.37377,0.99351,1,0.57748,0.93389,0.61597,1.11913,2.21696,0.96069,0.00101902,0.00101902,0.00101902
5,9.92953,0.9311,1.28256,0.9885,0.96801,0.65511,0.85415,0.58083,1.21494,1.96324,1.0256,0.00126478,0.00126478,0.00126478
6,11.7841,0.9337,1.23931,0.99589,0.67938,0.64261,0.77605,0.53773,1.10209,1.58774,1.01468,0.00150526,0.00150526,0.00150526
7,14.0952,0.88928,1.15047,0.99552,0.96769,0.74726,0.9313,0.64495,1.12958,1.26654,1.01555,0.00156798,0.00156798,0.00156798
8,16.0582,0.91415,1.10267,1.00874,0.96946,0.84489,0.96628,0.67701,1.04876,1.14372,1.06851,0.00155148,0.00155148,0.00155148
9,17.9336,0.89632,1.0287,1.00259,0.98673,0.94222,0.99391,0.69393,1.03889,1.05724,1.06707,0.00153497,0.00153497,0.00153497
10,19.8107,0.92782,1.0149,1.00592,0.87747,0.76761,0.9064,0.62005,1.14332,1.6515,1.14216,0.00151847,0.00151847,0.00151847
11,21.6139,0.8833,0.96799,0.99381,0.96783,0.97183,0.98863,0.73946,0.98425,0.89482,0.99399,0.00150197,0.00150197,0.00150197
12,23.4794,0.83008,0.88822,0.96475,0.98188,0.99296,0.99339,0.77412,0.83443,0.76518,0.97579,0.00148546,0.00148546,0.00148546
13,25.3656,0.84196,0.85216,0.95812,0.99446,0.99856,0.995,0.76,0.86525,0.73275,0.97899,0.00146896,0.00146896,0.00146896
