epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90848,0.96103,3.20613,0.96094,0.00654,1,0.71644,0.46078,1.13009,2.92044,0.92148,0.00025005,0.00025005,0.00025005
2,3.79933,0.91213,1.72252,0.94284,0.00657,1,0.94671,0.6869,0.90606,2.73366,0.90675,0.000511654,0.000511654,0.000511654
3,5.6373,0.8794,1.40099,0.94921,0.99227,0.49306,0.94884,0.656,0.9914,2.4928,0.92602,0.000767977,0.000767977,0.000767977
4,7.44367,0.88814,1.33642,0.95246,1,0.5266,0.85682,0.58943,1.06105,2.30185,0.96241,0.00101902,0.00101902,0.00101902
5,9.23149,0.85545,1.292,0.92686,1,0.73277,0.9794,0.68973,0.97878,1.89338,0.96153,0.00126478,0.00126478,0.00126478
6,11.0309,0.86175,1.18206,0.93383,0.96029,0.83162,0.99094,0.73668,0.91283,1.46602,0.93684,0.00150526,0.00150526,0.00150526
7,13.2189,0.86946,1.11177,0.94343,0.69474,0.98035,0.9929,0.73312,0.95737,1.22461,0.95936,0.00156798,0.00156798,0.00156798
8,14.9699,0.93785,1.12724,0.98236,0.99393,0.98809,0.99433,0.73079,0.92595,0.93587,0.98409,0.00155148,0.00155148,0.00155148
9,16.7164,0.87715,1.02004,0.9689,0.98358,0.99296,0.99473,0.74255,0.89357,0.92274,0.97784,0.00153497,0.00153497,0.00153497
10,18.4888,0.86699,0.98007,0.96462,0.9256,0.96474,0.99001,0.72757,0.87868,0.94243,0.99727,0.00151847,0.00151847,0.00151847
11,20.2262,0.83075,0.91774,0.94278,0.9894,0.9769,0.99317,0.76969,0.86392,0.81903,0.94802,0.00150197,0.00150197,0.00150197
12,21.9647,0.81082,0.85969,0.93657,0.97678,0.9658,0.98851,0.76489,0.82079,0.839,0.93444,0.00148546,0.00148546,0.00148546
13,23.7436,0.82009,0.82199,0.93021,0.98738,0.99296,0.99331,0.78717,0.78392,0.68592,0.91354,0.00146896,0.00146896,0.00146896
14,25.5123,0.82487,0.78605,0.92957,0.97786,0.97966,0.99292,0.7895,0.79497,0.70798,0.92881,0.00145246,0.00145246,0.00145246
15,27.4334,0.79072,0.74926,0.93505,0.97984,0.96189,0.99148,0.77945,0.77341,0.66767,0.92199,0.00143595,0.00143595,0.00143595
16,29.1694,0.76484,0.6973,0.93007,0.99747,1,0.995,0.79543,0.76348,0.61819,0.9151,0.00141945,0.00141945,0.00141945
17,30.9598,0.78105,0.66926,0.94015,0.98946,1,0.99403,0.79113,0.78959,0.67478,0.92978,0.00140295,0.00140295,0.00140295
18,32.8136,0.77191,0.66985,0.92827,0.98923,1,0.99465,0.78281,0.79978,0.56673,0.93662,0.00138644,0.00138644,0.00138644
19,34.5949,0.75556,0.62505,0.91237,0.97878,0.98592,0.98957,0.7921,0.82146,0.5507,0.95622,0.00136994,0.00136994,0.00136994
20,36.3545,0.75163,0.61297,0.92357,0.9823,0.99296,0.98628,0.75998,0.84123,0.55567,0.96685,0.00135344,0.00135344,0.00135344
21,38.1082,0.74989,0.58599,0.90991,0.99505,1,0.995,0.7889,0.81248,0.58213,0.93997,0.00133693,0.00133693,0.00133693
22,39.8473,0.77123,0.58763,0.94024,0.98816,1,0.99465,0.78706,0.78957,0.49288,0.92878,0.00132043,0.00132043,0.00132043
23,41.5693,0.74698,0.55982,0.92757,0.97753,0.99296,0.99027,0.78272,0.80951,0.51594,0.95165,0.00130393,0.00130393,0.00130393
24,43.3921,0.72868,0.54109,0.91549,0.98898,0.99928,0.99278,0.78206,0.81928,0.45906,0.94151,0.00128742,0.00128742,0.00128742
25,45.1172,0.73828,0.54379,0.92283,0.98534,0.99296,0.98897,0.7591,0.78703,0.47807,0.94233,0.00127092,0.00127092,0.00127092
26,46.8477,0.72758,0.53037,0.91215,0.99776,1,0.995,0.79491,0.79169,0.45073,0.93185,0.00125442,0.00125442,0.00125442
27,48.5649,0.72779,0.52783,0.90023,0.98121,0.99109,0.98829,0.75381,0.89738,0.5394,0.97445,0.00123791,0.00123791,0.00123791
28,50.2777,0.7471,0.51004,0.91711,0.94622,0.97183,0.98497,0.7807,0.76645,0.94294,0.92359,0.00122141,0.00122141,0.00122141
29,51.9912,0.73316,0.51236,0.92521,0.97649,0.99573,0.9924,0.8041,0.72757,0.52566,0.91825,0.00120491,0.00120491,0.00120491
30,53.713,0.73011,0.52138,0.92784,0.99671,1,0.995,0.77911,0.76164,0.44169,0.92044,0.0011884,0.0011884,0.0011884
31,55.4098,0.71627,0.49627,0.90641,0.9976,1,0.995,0.83333,0.68327,0.40242,0.88621,0.0011719,0.0011719,0.0011719
32,57.1292,0.69585,0.47674,0.90364,0.99486,1,0.995,0.80749,0.74233,0.42992,0.91221,0.0011554,0.0011554,0.0011554
33,58.9505,0.68669,0.47026,0.90062,0.9978,1,0.995,0.82094,0.73076,0.40023,0.90661,0.00113889,0.00113889,0.00113889
34,60.6674,0.69602,0.48107,0.90736,0.99654,1,0.995,0.81167,0.72174,0.42178,0.90482,0.00112239,0.00112239,0.00112239
35,62.3916,0.68793,0.46268,0.91256,0.99512,0.99928,0.995,0.81561,0.72998,0.40045,0.9076,0.00110589,0.00110589,0.00110589
