epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92143,0.88727,2.89366,0.99363,0.0066,1,0.74117,0.57162,0.84642,2.8358,0.88616,0.00025005,0.00025005,0.00025005
2,3.81933,0.93031,1.54378,1.04653,0.00663,1,0.96819,0.68564,0.9039,2.69704,0.89166,0.000511654,0.000511654,0.000511654
3,5.65703,0.87207,1.24877,1.00473,0.00708,0.95775,0.89215,0.60389,1.00028,2.71297,0.92239,0.000767977,0.000767977,0.000767977
4,7.84057,0.89602,1.1673,1.04945,0.41382,0.8662,0.80947,0.61613,0.87711,2.68311,0.93633,0.00101902,0.00101902,0.00101902
5,9.63267,0.87207,1.12863,1.06125,0.74673,0.7337,0.80669,0.61366,0.98898,1.96633,1.00546,0.00126478,0.00126478,0.00126478
6,11.4305,0.96067,1.12285,1.07509,0.7993,0.64143,0.7782,0.55099,0.994,2.01875,1.05061,0.00150526,0.00150526,0.00150526
7,13.2033,0.92718,1.07352,1.06795,0.79808,0.92103,0.89308,0.63648,1.02092,1.49009,1.0506,0.00156798,0.00156798,0.00156798
8,14.9687,0.89403,1.00826,1.06825,0.78585,0.92968,0.97296,0.74835,0.85691,1.17522,0.98566,0.00155148,0.00155148,0.00155148
9,16.7297,0.87852,0.9502,1.0384,0.81518,0.9654,0.98742,0.74963,0.86629,1.13575,0.94365,0.00153497,0.00153497,0.00153497
10,18.5233,0.88952,0.91458,1.04512,0.98139,0.98322,0.99214,0.75835,0.91048,0.89636,1.00166,0.00151847,0.00151847,0.00151847
11,20.2851,0.82115,0.84722,1.04204,0.70242,0.82577,0.84464,0.67076,0.82981,1.89955,1.00563,0.00150197,0.00150197,0.00150197
12,22.1692,0.87132,0.82748,1.05899,0.77295,0.83116,0.91106,0.70952,0.88535,1.39007,1.01432,0.00148546,0.00148546,0.00148546
13,23.9244,0.86767,0.81779,1.05556,0.96647,0.95081,0.99445,0.76386,0.86192,0.87439,1.02134,0.00146896,0.00146896,0.00146896
14,25.6911,0.84038,0.77868,1.03029,0.86738,0.99296,0.9553,0.75757,0.87517,1.15506,1.02056,0.00145246,0.00145246,0.00145246
15,27.4399,0.81562,0.77195,1.01562,0.91021,0.93787,0.99419,0.77976,0.84588,0.8661,0.99061,0.00143595,0.00143595,0.00143595
16,29.2021,0.80551,0.72059,1.01505,0.95694,0.92991,0.97051,0.76815,0.82564,0.9714,1.008,0.00141945,0.00141945,0.00141945
17,30.9378,0.8135,0.72521,1.02482,0.99473,0.98929,0.99467,0.7871,0.7942,0.66198,0.99775,0.00140295,0.00140295,0.00140295
18,32.685,0.81043,0.69758,1.03993,0.98527,0.97853,0.99263,0.77946,0.81045,0.77724,1.02306,0.00138644,0.00138644,0.00138644
19,34.4232,0.79792,0.66387,1.01416,0.99173,0.99716,0.99493,0.78126,0.80064,0.60182,0.99764,0.00136994,0.00136994,0.00136994
20,36.1788,0.78158,0.66202,1.01928,0.98192,1,0.99214,0.78863,0.79412,0.54912,1.00773,0.00135344,0.00135344,0.00135344
21,38.0705,0.77493,0.64407,1.02275,0.99058,1,0.99465,0.76108,0.83402,0.58419,1.03575,0.00133693,0.00133693,0.00133693
22,39.816,0.77866,0.63191,1.01013,0.99598,1,0.995,0.76878,0.81539,0.6037,1.0161,0.00132043,0.00132043,0.00132043
23,41.5811,0.7836,0.61112,1.01656,0.99448,0.99296,0.99461,0.77915,0.81875,0.55396,1.00218,0.00130393,0.00130393,0.00130393
24,43.3234,0.78676,0.60454,1.01941,0.99814,0.99174,0.99486,0.77854,0.8232,0.50658,1.0315,0.00128742,0.00128742,0.00128742
25,45.051,0.80896,0.62483,1.03469,0.99191,0.99296,0.99444,0.78968,0.80981,0.49924,1.01579,0.00127092,0.00127092,0.00127092
26,46.8123,0.75874,0.58684,0.99962,0.99788,0.99296,0.99105,0.75359,0.82555,0.53324,1.04769,0.00125442,0.00125442,0.00125442
27,48.553,0.78939,0.58613,1.0336,0.99525,0.98592,0.99416,0.80387,0.72301,0.49925,0.98114,0.00123791,0.00123791,0.00123791
28,50.3418,0.78196,0.57558,1.02095,0.99434,0.99296,0.99461,0.79026,0.79852,0.47997,0.99656,0.00122141,0.00122141,0.00122141
29,52.186,0.77572,0.5581,1.0158,0.99546,0.99296,0.99486,0.79322,0.80596,0.49401,1.00584,0.00120491,0.00120491,0.00120491
30,53.9258,0.76765,0.54492,1.01072,0.99824,0.99296,0.99493,0.80034,0.77587,0.50626,0.97621,0.0011884,0.0011884,0.0011884
31,55.6676,0.77342,0.5395,1.01698,0.99796,0.99814,0.995,0.79486,0.76052,0.4753,0.98908,0.0011719,0.0011719,0.0011719
32,57.4011,0.7837,0.54227,1.0388,0.98962,1,0.99486,0.80698,0.77989,0.47871,1.01945,0.0011554,0.0011554,0.0011554
33,59.1395,0.74883,0.52358,1.0106,0.99111,1,0.99465,0.80305,0.75763,0.45456,0.99136,0.00113889,0.00113889,0.00113889
34,60.8632,0.71315,0.51291,0.99828,0.9887,0.99914,0.99403,0.80087,0.72004,0.43757,0.97716,0.00112239,0.00112239,0.00112239
35,62.6052,0.73621,0.50779,0.99986,0.99054,1,0.99493,0.81667,0.7261,0.44303,0.97559,0.00110589,0.00110589,0.00110589
