epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.44281,0.82536,5.3753,0.00557,0.00723,0.97183,0.49564,0.3478,0.87781,3.75677,0.00532,0.00025005,0.00025005,0.00025005
2,3.97135,0.84658,4.34638,0.00576,0.00654,0.96479,0.5296,0.39466,0.80784,3.57766,0.00506,0.000511654,0.000511654,0.000511654
3,5.50036,0.89628,3.78635,0.00668,0.00634,0.94366,0.54049,0.37843,0.73116,3.63683,0.00481,0.000767977,0.000767977,0.000767977
4,6.96703,0.87215,3.29147,0.00622,0.00631,0.95775,0.47755,0.36493,0.76778,3.49626,0.00499,0.00101902,0.00101902,0.00101902
5,8.43147,0.88979,2.93969,0.00575,1,0.16884,0.85646,0.69103,0.85629,2.77687,0.00572,0.00126478,0.00126478,0.00126478
6,9.90373,0.94367,2.71576,0.00667,0.96519,0.59489,0.91608,0.72871,0.80642,2.1773,0.00529,0.00150526,0.00150526,0.00150526
7,11.4814,0.85545,2.4094,0.00587,0.89465,0.838,0.92648,0.73199,0.82573,1.67528,0.00564,0.00156798,0.00156798,0.00156798
8,12.9383,0.92685,2.23479,0.00656,0.88623,0.77435,0.90397,0.7171,0.90694,1.54982,0.00603,0.00155148,0.00155148,0.00155148
9,14.3843,0.87218,2.02977,0.00604,0.92648,0.78951,0.9475,0.74347,0.85891,1.12332,0.00587,0.00153497,0.00153497,0.00153497
10,15.8514,0.95948,1.89102,0.00662,0.90151,0.83832,0.95075,0.72947,0.8845,1.01824,0.00566,0.00151847,0.00151847,0.00151847
11,17.2813,0.92609,1.71754,0.00655,0.78564,0.9086,0.91688,0.68405,0.95889,1.01986,0.0061,0.00150197,0.00150197,0.00150197
12,18.8132,0.82692,1.57876,0.00586,0.87206,0.79778,0.93055,0.75057,0.83711,0.84242,0.00512,0.00148546,0.00148546,0.00148546
13,20.272,0.79278,1.39761,0.00523,0.88597,0.8197,0.94063,0.7514,0.81335,0.78476,0.00534,0.00146896,0.00146896,0.00146896
14,21.7427,0.85245,1.33653,0.00577,0.97053,0.88213,0.97345,0.79409,0.74271,0.54005,0.00465,0.00145246,0.00145246,0.00145246
15,23.2079,0.82188,1.22531,0.00557,0.94767,0.82982,0.95796,0.7494,0.84435,0.60559,0.00557,0.00143595,0.00143595,0.00143595
16,24.6676,0.77416,1.16691,0.00527,0.94857,0.83231,0.96147,0.77282,0.81512,0.49933,0.0051,0.00141945,0.00141945,0.00141945
17,26.1172,0.82875,1.06248,0.00567,0.86948,0.9253,0.96414,0.76451,0.83627,0.4838,0.00523,0.00140295,0.00140295,0.00140295
18,27.6526,0.79604,0.99695,0.00522,0.91165,0.9509,0.96887,0.76316,0.83982,0.47337,0.00532,0.00138644,0.00138644,0.00138644
19,29.0898,0.76933,0.89467,0.00487,0.87484,0.93672,0.97867,0.79381,0.79805,0.38525,0.00493,0.00136994,0.00136994,0.00136994
20,30.5153,0.80321,0.84864,0.00528,0.92011,0.93212,0.97251,0.77272,0.83105,0.41034,0.0054,0.00135344,0.00135344,0.00135344
21,31.944,0.79878,0.85085,0.00527,0.9193,0.86462,0.96851,0.77862,0.76382,0.43114,0.00471,0.00133693,0.00133693,0.00133693
22,33.3814,0.76208,0.73756,0.00527,0.91251,0.88048,0.96948,0.79469,0.70056,0.43174,0.00432,0.00132043,0.00132043,0.00132043
23,34.9302,0.80374,0.73693,0.00567,0.93505,0.94083,0.97781,0.81504,0.70981,0.36229,0.00449,0.00130393,0.00130393,0.00130393
24,36.3764,0.7432,0.70825,0.00478,0.93701,0.95929,0.98078,0.80216,0.75845,0.36453,0.00487,0.00128742,0.00128742,0.00128742
25,37.8192,0.71806,0.67184,0.00472,0.91585,0.94984,0.97787,0.81247,0.69698,0.34611,0.00424,0.00127092,0.00127092,0.00127092
26,39.2647,0.73416,0.66221,0.00467,0.90657,0.9507,0.97342,0.79647,0.71614,0.37571,0.00434,0.00125442,0.00125442,0.00125442
27,40.6822,0.68532,0.60662,0.00438,0.92194,0.92977,0.97196,0.80315,0.71873,0.41732,0.00433,0.00123791,0.00123791,0.00123791
28,42.1034,0.69521,0.5959,0.00464,0.94591,0.95506,0.98146,0.7876,0.8219,0.40702,0.00544,0.00122141,0.00122141,0.00122141
29,43.653,0.76625,0.59209,0.00505,0.94053,0.93672,0.98199,0.78933,0.79746,0.36344,0.00514,0.00120491,0.00120491,0.00120491
30,45.0699,0.74183,0.58413,0.00484,0.98322,0.92393,0.98381,0.81395,0.70599,0.37576,0.00441,0.0011884,0.0011884,0.0011884
31,46.5188,0.70556,0.55803,0.00461,0.89105,0.9722,0.98327,0.81551,0.73859,0.42602,0.00437,0.0011719,0.0011719,0.0011719
32,47.9761,0.76247,0.55358,0.00499,0.97866,0.95784,0.98861,0.82485,0.73179,0.30442,0.00467,0.0011554,0.0011554,0.0011554
33,49.4166,0.66807,0.52454,0.0044,0.9801,0.94253,0.9874,0.84045,0.658,0.31781,0.00384,0.00113889,0.00113889,0.00113889
34,50.864,0.68281,0.5255,0.00436,0.95312,0.9507,0.98776,0.83873,0.67871,0.29208,0.00403,0.00112239,0.00112239,0.00112239
35,52.4052,0.69824,0.49261,0.0046,0.96442,0.9561,0.98881,0.79687,0.79602,0.30621,0.00495,0.00110589,0.00110589,0.00110589
36,53.8398,0.66353,0.46984,0.00438,0.92457,0.97096,0.97975,0.81345,0.72624,0.31714,0.00436,0.00108938,0.00108938,0.00108938
37,55.2648,0.67518,0.47202,0.00443,0.97006,0.94086,0.98787,0.82541,0.68703,0.30038,0.00418,0.00107288,0.00107288,0.00107288
38,56.6721,0.64972,0.43472,0.00421,0.95221,0.97157,0.9886,0.83568,0.6692,0.31713,0.00395,0.00105638,0.00105638,0.00105638
